case,z,y,x,lung,delta,dc,fab,era
CT00000103,40,0,64,0.316015625,-1.6733366064727306,0.04677130654454231,2,1
CT00000103,40,64,0,0.471588134765625,-3.18872625939548,0.05072028934955597,0,0
CT00000103,40,64,64,0.2480224609375,-4.196683876216412,0.0626264289021492,0,0
CT00000103,40,64,256,0.250830078125,-1.0762119200080633,0.0690031573176384,1,0
CT00000103,40,64,320,0.501824951171875,-0.6935364799574018,0.07033298909664154,1,0
CT00000103,40,128,0,0.5192138671875,-2.5622332468628883,0.050084538757801056,0,1
CT00000103,40,128,64,0.57923583984375,-2.454956993460655,0.054338905960321426,0,0
CT00000103,40,128,128,0.784259033203125,-0.8671220275573432,0.05067852512001991,1,0
CT00000103,40,128,192,0.43502197265625,-1.6797797288745642,0.0247149970382452,0,1
CT00000103,40,128,256,0.730078125,-1.0740113211795688,0.061193760484457016,2,0
CT00000103,40,128,320,0.664959716796875,-0.9837700054049492,0.06721929460763931,2,0
CT00000103,40,192,64,0.6796875,-2.0866908598691225,0.04724447429180145,0,0
CT00000103,40,192,128,0.324627685546875,-5.684229079633951,0.05075835436582565,0,1
CT00000103,40,192,256,0.68668212890625,-2.505890792235732,0.050564371049404144,2,0
CT00000103,40,192,320,0.4620849609375,-2.0025004632771015,0.040251731872558594,1,0
CT00000103,80,0,64,0.691546630859375,-0.4533156752586365,0.033000119030475616,0,0
CT00000103,80,0,128,0.434503173828125,-0.8141982834786177,0.02909991145133972,1,1
CT00000103,80,0,320,0.284161376953125,-0.19106129184365273,0.031382426619529724,0,0
CT00000103,80,64,0,0.6215087890625,-2.840753411874175,0.043080877512693405,0,0
CT00000103,80,64,64,1.0,0.43054972775280476,0.16915263235569,0,0
CT00000103,80,64,128,0.529620361328125,0.5546917673200369,0.025261979550123215,0,0
CT00000103,80,64,256,0.305535888671875,1.2895656982436776,0.026964742690324783,0,0
CT00000103,80,64,320,0.9780029296875,0.5518480320461094,0.09108208864927292,2,3
CT00000103,80,128,0,0.623870849609375,-2.877255668863654,0.04545309767127037,0,1
CT00000103,80,128,64,0.9967041015625,0.9876308031380177,0.11991491168737411,1,0
CT00000103,80,128,128,0.900738525390625,-0.02027345726673957,0.07306291908025742,0,0
CT00000103,80,128,192,0.29764404296875,-0.8630469092167914,0.02683364599943161,0,0
CT00000103,80,128,256,0.932049560546875,0.9633711306378245,0.08150962740182877,2,2
CT00000103,80,128,320,0.995806884765625,0.8051685290411115,0.16217030584812164,0,0
CT00000103,80,192,64,0.827947998046875,-2.316946629434824,0.05582279711961746,1,0
CT00000103,80,192,128,0.489971923828125,-6.514827720820904,0.04691731557250023,1,0
CT00000103,80,192,256,0.887237548828125,-1.9861969631165266,0.06560494005680084,0,0
CT00000103,80,192,320,0.55279541015625,-4.183868877589703,0.0458417646586895,0,0
CT00000103,120,0,64,0.617425537109375,-0.9374938090331852,0.03464912250638008,1,1
CT00000103,120,0,128,0.54940185546875,-0.7424657233059406,0.03028789907693863,1,0
CT00000103,120,0,256,0.54676513671875,-0.7544041145592928,0.03764147683978081,1,1
CT00000103,120,64,0,0.552642822265625,-3.507144283503294,0.050507206469774246,0,1
CT00000103,120,64,64,1.0,1.4344877563416958,0.17260608077049255,1,0
CT00000103,120,64,128,0.5893310546875,0.3361068665981293,0.05356493219733238,0,1
CT00000103,120,64,256,0.700128173828125,-0.8906812872737646,0.06739800423383713,0,0
CT00000103,120,64,320,0.896575927734375,-0.8671758696436882,0.07555325329303741,2,0
CT00000103,120,128,0,0.56046142578125,-4.353356547653675,0.04389264062047005,2,2
CT00000103,120,128,64,0.99088134765625,0.9424445452168584,0.10976535081863403,0,0
CT00000103,120,128,128,0.7337646484375,0.2718871983233839,0.06459768116474152,0,1
CT00000103,120,128,256,0.86875,0.11263487976975739,0.09270577877759933,1,2
CT00000103,120,128,320,0.97060546875,0.11654765694402158,0.10099098086357117,1,0
CT00000103,120,192,64,0.838165283203125,-2.867085160687566,0.05364026501774788,3,0
CT00000103,120,192,128,0.54093017578125,-5.9171998873353004,0.044115159660577774,1,0
CT00000103,120,192,192,0.2471923828125,-7.374965585768223,0.04497159272432327,0,0
CT00000103,120,192,256,0.94486083984375,0.2729402622207999,0.09286213666200638,0,2
CT00000103,120,192,320,0.46490478515625,-6.261100526899099,0.05122413486242294,2,0
CT00000103,160,0,64,0.323785400390625,-2.4050045758485794,0.06224745884537697,0,2
CT00000103,160,0,128,0.33480224609375,-0.7633098866790533,0.04262688755989075,1,1
CT00000103,160,0,256,0.312750244140625,-0.34667030558921397,0.04471650347113609,0,0
CT00000103,160,64,0,0.323626708984375,-3.8390059489756823,0.06420969218015671,0,0
CT00000103,160,64,64,0.992816162109375,0.8727653184905648,0.18436336517333984,0,1
CT00000103,160,64,128,0.771282958984375,1.0914427693933249,0.05288336053490639,0,1
CT00000103,160,64,192,0.320428466796875,-0.597887672483921,0.03661297634243965,0,0
CT00000103,160,64,256,0.99921875,1.2845243327319622,0.1756744682788849,0,3
CT00000103,160,64,320,0.647186279296875,-3.4737251698970795,0.06605342775583267,2,0
CT00000103,160,128,0,0.410882568359375,-5.231416784226894,0.05072534829378128,1,0
CT00000103,160,128,64,1.0,1.5345769934356213,0.1871258169412613,0,1
